Date,Open,High,Low,Close,Adj Close,Volume
30-05-2022,16527.90039,16793.84961,16438.84961,16584.30078,16584.30078,1634100
06-06-2022,16530.69922,16610.94922,16172.59961,16201.79981,16201.79981,1105600
13-06-2022,15877.54981,15886.15039,15183.40039,15293.5,15293.5,1241200
20-06-2022,15334.5,15749.25,15191.09961,15699.25,15699.25,1222500
27-06-2022,15926.2002,15927.4502,15511.04981,15752.04981,15752.04981,1577800
04-07-2022,15710.5,16275.5,15661.79981,16220.59961,16220.59961,1392600
11-07-2022,16136.15039,16248.54981,15858.2002,16049.2002,16049.2002,1132200
18-07-2022,16151.40039,16752.25,16142.2002,16719.44922,16719.44922,1169200
25-07-2022,16662.55078,17172.80078,16438.75,17158.25,17158.25,1417200
01-08-2022,17243.19922,17490.69922,17154.80078,17397.5,17397.5,1680800
08-08-2022,17401.5,17724.65039,17359.75,17698.15039,17698.15039,1184800
15-08-2022,17797.19922,17992.19922,17710.75,17758.44922,17758.44922,822300
22-08-2022,17682.90039,17726.5,17345.19922,17558.90039,17558.90039,1332000
29-08-2022,17188.65039,17777.65039,17166.19922,17539.44922,17539.44922,1134400
05-09-2022,17546.44922,17925.94922,17484.30078,17833.34961,17833.34961,1385700
12-09-2022,17890.84961,18096.15039,17497.25,17530.84961,17530.84961,1612100
19-09-2022,17540.65039,17919.30078,17291.65039,17327.34961,17327.34961,1441800
26-09-2022,17156.30078,17196.40039,16747.69922,17094.34961,17094.34961,1891900
03-10-2022,17102.09961,17428.80078,16855.55078,17314.65039,17314.65039,986200
10-10-2022,17094.34961,17348.55078,16950.30078,17185.69922,17185.69922,1266000
17-10-2022,17144.80078,17670.15039,17098.55078,17576.30078,17576.30078,1189500
24-10-2022,17736.34961,17838.90039,17637,17786.80078,17786.80078,871000
31-10-2022,17910.19922,18178.75,17899.90039,18117.15039,18117.15039,1328900
07-11-2022,18211.75,18362.30078,17969.40039,18349.69922,18349.69922,1257000
14-11-2022,18376.40039,18442.15039,18209.80078,18307.65039,18307.65039,1170900
21-11-2022,18246.40039,18534.90039,18133.34961,18512.75,18512.75,980200
28-11-2022,18430.55078,18887.59961,18365.59961,18696.09961,18696.09961,1326800
05-12-2022,18719.55078,18728.59961,18410.09961,18496.59961,18496.59961,1125300
12-12-2022,18402.15039,18696.09961,18255.15039,18269,18269,1050300
19-12-2022,18288.09961,18473.34961,17779.5,17806.80078,17806.80078,928600
26-12-2022,17830.40039,18265.25,17774.25,18105.30078,18105.30078,1058000
02-01-2023,18131.69922,18251.94922,17795.55078,17859.44922,17859.44922,1208100
09-01-2023,17952.55078,18141.40039,17761.65039,17956.59961,17956.59961,1284900
16-01-2023,18033.15039,18183.75,17853.65039,18027.65039,18027.65039,1156100
23-01-2023,18118.44922,18201.25,17493.55078,17604.34961,17604.34961,1152900
30-01-2023,17541.94922,17972.19922,17353.40039,17854.05078,17854.05078,2257800
06-02-2023,17818.55078,17916.90039,17652.55078,17856.5,17856.5,1420800
